Date,stock,return,ma20,volatility,target,risk
2021-06-02,ASIANPAINT.NS,-0.009357818975218684,2657.906530761719,0.02094579372765561,1,HIGH
2021-06-03,ASIANPAINT.NS,0.01084098476197669,2675.504150390625,0.02073222393029147,0,HIGH
2021-06-04,ASIANPAINT.NS,-0.003566666569621093,2693.4917724609377,0.020617171990547484,1,HIGH
2021-06-07,ASIANPAINT.NS,0.0027997924999210596,2711.747424316406,0.02059438222711487,0,HIGH
2021-06-08,ASIANPAINT.NS,-0.002338063471726399,2729.421594238281,0.020673034949542337,1,HIGH
2021-06-09,ASIANPAINT.NS,0.005894515837717717,2747.9572143554688,0.02060871749915923,1,HIGH
2021-06-10,ASIANPAINT.NS,0.0073304346710695335,2767.5317138671876,0.020541365587035024,1,HIGH
2021-06-11,ASIANPAINT.NS,0.0019129566151877206,2776.9304077148436,0.010693571922740426,0,MEDIUM
2021-06-14,ASIANPAINT.NS,-0.0021503117658915063,2785.628857421875,0.010765946042182268,1,MEDIUM
2021-06-15,ASIANPAINT.NS,0.030809723957575613,2796.8976440429688,0.012217867704655829,0,MEDIUM
2021-06-16,ASIANPAINT.NS,-0.007754698482339854,2807.320935058594,0.01242995027247686,1,MEDIUM
2021-06-17,ASIANPAINT.NS,0.01368690397184792,2820.7859619140627,0.012311850012908944,0,MEDIUM
2021-06-18,ASIANPAINT.NS,-0.004290082965835181,2831.7831176757813,0.012286418951317688,1,MEDIUM
2021-06-21,ASIANPAINT.NS,0.006982033591688059,2844.44365234375,0.012132506691534923,0,MEDIUM
2021-06-22,ASIANPAINT.NS,-0.018999233388470774,2849.770556640625,0.011207965327788004,0,MEDIUM
2021-06-23,ASIANPAINT.NS,-0.007819153119557195,2852.667834472656,0.011264937147738715,1,MEDIUM
2021-06-24,ASIANPAINT.NS,0.018539484188706275,2857.882775878906,0.011926984151907266,0,MEDIUM
2021-06-25,ASIANPAINT.NS,-0.013014805796953677,2861.6191284179686,0.012343858719597062,0,MEDIUM
2021-06-28,ASIANPAINT.NS,-0.006998648208422346,2862.5866943359374,0.01218584537695223,1,MEDIUM
2021-06-29,ASIANPAINT.NS,0.006199363802622705,2866.671838378906,0.011637422682064729,0,MEDIUM
2021-06-30,ASIANPAINT.NS,-0.0029361874177029706,2871.640270996094,0.01141033393048754,1,MEDIUM
2021-07-01,ASIANPAINT.NS,0.009610631059808196,2876.4839477539062,0.011361991825465231,0,MEDIUM
2021-07-02,ASIANPAINT.NS,-0.0055089494857706615,2881.02939453125,0.011417495913965502,1,MEDIUM
2021-07-05,ASIANPAINT.NS,0.0032558556385270387,2885.653698730469,0.011420477965429186,0,MEDIUM
2021-07-06,ASIANPAINT.NS,-0.004088236983636125,2890.0142456054687,0.011459047516418238,1,MEDIUM
2021-07-07,ASIANPAINT.NS,0.012445275631093133,2895.355261230469,0.011681730902571751,0,MEDIUM
2021-07-08,ASIANPAINT.NS,-0.0038890212160416393,2899.09228515625,0.011674622822415723,0,MEDIUM
2021-07-09,ASIANPAINT.NS,-0.0058621224339352115,2901.7062744140626,0.011782082095298524,0,MEDIUM
2021-07-12,ASIANPAINT.NS,-0.003727058473206765,2904.08701171875,0.011808888307298827,0,MEDIUM
2021-07-13,ASIANPAINT.NS,-0.0018520925943350224,2901.7615966796875,0.009472262086968596,1,LOW
2021-07-14,ASIANPAINT.NS,0.0027019053200194334,2900.956005859375,0.009356116500301406,0,LOW
2021-07-15,ASIANPAINT.NS,-0.006131480490376086,2897.267053222656,0.0088341427176491,1,LOW
2021-07-16,ASIANPAINT.NS,0.0019086299416530713,2894.4823364257813,0.00883131457515436,0,LOW
2021-07-19,ASIANPAINT.NS,-0.0024618086506448516,2890.317272949219,0.008634647886608508,1,LOW
2021-07-20,ASIANPAINT.NS,0.05769391719537257,2897.4474243164063,0.015060693824131966,0,MEDIUM
2021-07-22,ASIANPAINT.NS,-0.01669418118238865,2903.1900268554687,0.015502023567036725,0,MEDIUM
2021-07-23,ASIANPAINT.NS,-0.007430891269748971,2905.1378540039063,0.015123184939232537,0,MEDIUM
2021-07-26,ASIANPAINT.NS,-0.007339344555044561,2907.8937255859373,0.01490473429491451,0,MEDIUM
2021-07-27,ASIANPAINT.NS,-0.010690153974129889,2910.091662597656,0.015030606044785134,0,MEDIUM
2021-07-28,ASIANPAINT.NS,-0.008138738960872582,2910.2167236328123,0.015099304388133573,0,MEDIUM
2021-07-29,ASIANPAINT.NS,-0.0022160205296284314,2910.445202636719,0.015092682302989512,0,MEDIUM
2021-07-30,ASIANPAINT.NS,-0.013096503838040431,2907.4079711914064,0.015191699981023318,1,MEDIUM
2021-08-02,ASIANPAINT.NS,0.005259286926299086,2905.91943359375,0.015216377363609607,1,MEDIUM
2021-08-03,ASIANPAINT.NS,0.017647279700083295,2906.506213378906,0.01573563509180442,0,MEDIUM
2021-08-04,ASIANPAINT.NS,-0.002778894896108226,2907.28056640625,0.015719562206647743,0,MEDIUM
2021-08-05,ASIANPAINT.NS,-0.010055066507776319,2904.7940185546877,0.015606893605435171,0,MEDIUM
2021-08-06,ASIANPAINT.NS,-0.007372209360297292,2901.819299316406,0.01566183980789787,1,MEDIUM
2021-08-09,ASIANPAINT.NS,0.008759955349107874,2900.9511840820314,0.015765429930991396,0,MEDIUM
2021-08-10,ASIANPAINT.NS,-0.005159423379659827,2899.8810546875,0.015785055540799613,0,MEDIUM
2021-08-11,ASIANPAINT.NS,-0.0015293126079089993,2898.8590454101563,0.01578362787244665,1,MEDIUM
2021-08-12,ASIANPAINT.NS,0.0009748497992491416,2897.5869018554686,0.015770735690139454,1,MEDIUM
2021-08-13,ASIANPAINT.NS,0.004426523788897788,2897.8321899414063,0.015746972003625567,0,MEDIUM
2021-08-16,ASIANPAINT.NS,-0.005805485561014254,2896.9712524414062,0.015794366620978655,1,MEDIUM
2021-08-17,ASIANPAINT.NS,0.014666343483782363,2898.575244140625,0.01613175737004241,0,MEDIUM
2021-08-18,ASIANPAINT.NS,-0.004570611189402237,2891.0001953125,0.008921137884333663,1,LOW
2021-08-20,ASIANPAINT.NS,0.03644209264374727,2891.298388671875,0.011903244330382572,0,MEDIUM
2021-08-23,ASIANPAINT.NS,-0.011469467858762693,2890.99541015625,0.012070794440316123,0,MEDIUM
2021-08-24,ASIANPAINT.NS,-0.010288539532979936,2890.261962890625,0.012181365380925468,0,MEDIUM
2021-08-25,ASIANPAINT.NS,-0.0025969890507615404,2890.7140869140626,0.011948484570746687,1,MEDIUM
2021-08-26,ASIANPAINT.NS,0.0005264338961586089,2892.423864746094,0.011787946097152347,0,MEDIUM
2021-08-27,ASIANPAINT.NS,-0.0009379685883453638,2894.31640625,0.01177540171782028,1,MEDIUM
2021-08-30,ASIANPAINT.NS,0.023416493091133823,2901.545166015625,0.012348181400640099,1,MEDIUM
2021-08-31,ASIANPAINT.NS,0.02935177174650374,2912.47724609375,0.013731498751037801,1,MEDIUM
2021-09-01,ASIANPAINT.NS,0.03118292326397003,2925.7395751953127,0.014751677225004672,0,MEDIUM
2021-09-02,ASIANPAINT.NS,-0.00034833377368180123,2939.3505859375,0.01469969722837081,1,MEDIUM
2021-09-03,ASIANPAINT.NS,0.01120423691116358,2956.203234863281,0.014357943809507372,0,MEDIUM
2021-09-06,ASIANPAINT.NS,-0.006987894566000987,2972.993371582031,0.014339994216994452,1,MEDIUM
2021-09-07,ASIANPAINT.NS,0.006223927839799205,2989.523791503906,0.014321436582355343,1,MEDIUM
2021-09-08,ASIANPAINT.NS,0.0001049031816483917,3006.81171875,0.014163961836414388,1,MEDIUM
2021-09-09,ASIANPAINT.NS,0.002917812616886928,3024.7873779296874,0.01407916249508251,1,MEDIUM
2021-09-13,ASIANPAINT.NS,0.006166818922526525,3043.619177246094,0.014030933779191977,0,MEDIUM
2021-09-14,ASIANPAINT.NS,-0.0013521758956312139,3061.597277832031,0.01412813303810342,0,MEDIUM
2021-09-15,ASIANPAINT.NS,-0.0030382327096741767,3079.916857910156,0.014020683934903574,0,MEDIUM
2021-09-16,ASIANPAINT.NS,-0.0030471879347571283,3095.6344604492188,0.014005931875433447,0,MEDIUM
2021-09-17,ASIANPAINT.NS,-0.01175312174974563,3110.13525390625,0.014355872502076185,0,MEDIUM
2021-09-20,ASIANPAINT.NS,-0.009582372138644346,3117.7631958007814,0.012595212716942918,1,MEDIUM
2021-09-21,ASIANPAINT.NS,0.011442488295409146,3128.9093017578125,0.012297680082833145,1,MEDIUM
2021-09-22,ASIANPAINT.NS,0.0025051071014476024,3141.96962890625,0.011860538630803932,1,MEDIUM
2021-09-23,ASIANPAINT.NS,0.000948987594824924,3155.5614013671875,0.011778706311293656,1,MEDIUM
2021-09-24,ASIANPAINT.NS,0.03780783047663063,3175.2300537109377,0.013886916138165945,0,MEDIUM
