Date,Open,High,Low,Close,Volume,stock
2021-05-04,2493.430813121416,2505.826132614841,2461.4134853097617,2476.34521484375,1058140,ASIANPAINT.NS
2021-05-04,701.0727748943879,715.6618846504068,695.1972827240592,697.4379272460938,11980155,AXISBANK.NS
2021-05-04,549.535005752189,563.2439892142665,544.6371893016349,550.0982666015625,48383470,BAJFINANCE.NS
2021-05-04,667.7351002247756,673.9154441830442,655.1140315140075,657.505615234375,21486328,HDFCBANK.NS
2021-05-04,2215.513323922793,2223.7897726690276,2181.487923521606,2214.087890625,1453111,HINDUNILVR.NS
2021-05-04,577.072462321163,588.050017153402,569.6734541173581,572.1397705078125,15115127,ICICIBANK.NS
2021-05-04,1191.953709880542,1192.7899711977664,1165.632110895416,1170.2978515625,4887060,INFY.NS
2021-05-04,158.16576925152384,159.06980506435596,156.51494345159654,156.90798950195312,18962501,ITC.NS
2021-05-04,348.74306281324175,351.33222162955684,343.62443234802834,345.08831787109375,21275755,KOTAKBANK.NS
2021-05-04,1281.0722064711322,1281.9262777763179,1263.0423013430197,1269.3052978515625,2029558,LT.NS
2021-05-04,6363.978381202823,6372.172836069844,6212.592964338532,6237.751953125,507170,MARUTI.NS
2021-05-04,86.93145921742769,88.39004070524419,86.26467656514731,86.4730453491211,12992684,NTPC.NS
2021-05-04,79.04693785748654,80.73034710104514,78.82736079647398,80.25460052490234,30811922,ONGC.NS
2021-05-04,884.190958253908,892.2620588404909,866.5071582786076,869.0463256835938,21849830,RELIANCE.NS
2021-05-04,327.564408151727,334.8538639970908,323.13537953048944,324.33489990234375,57749307,SBIN.NS
2021-05-04,630.091953955568,632.8521987434464,611.0559432620463,614.0541381835938,5604638,SUNPHARMA.NS
2021-05-04,2692.4368405095456,2716.3476898721206,2667.998459146241,2680.96484375,1990777,TCS.NS
2021-05-04,1412.037729810694,1412.037729810694,1378.6077354034985,1381.4140625,3194977,TITAN.NS
2021-05-04,6217.393444657014,6251.448025339799,6115.229702608659,6126.37060546875,330346,ULTRACEMCO.NS
2021-05-04,225.10803098243963,225.5699805753423,220.71950984986424,222.63661193847656,16204858,WIPRO.NS
2021-05-05,2504.9169098422053,2504.9169098422053,2437.0535685021136,2457.680419921875,1220186,ASIANPAINT.NS
2021-05-05,706.05191860334,716.0601177051252,697.0893413573174,714.2178344726562,11155033,AXISBANK.NS
2021-05-05,556.6858410427975,558.3511106989337,534.0971125348053,540.243896484375,43786930,BAJFINANCE.NS
2021-05-05,663.4965435023666,667.5693872393219,654.3562753461298,664.2542724609375,14421612,HDFCBANK.NS
2021-05-05,2238.3196201737965,2238.3196201737965,2178.2233154226633,2202.133056640625,1256857,HINDUNILVR.NS
2021-05-05,575.7667234251652,584.9550049381851,565.5145592446672,583.0206298828125,17253943,ICICIBANK.NS
2021-05-05,1180.597435377813,1183.0623749987185,1168.8892408309257,1180.9495849609375,3939788,INFY.NS
2021-05-05,158.36228489678084,158.79464546368473,156.8293656297263,158.32298278808594,14396547,ITC.NS
2021-05-05,346.7513775539906,354.1205848703058,342.9472628052765,352.6766052246094,12058215,KOTAKBANK.NS
2021-05-05,1273.670433805711,1277.9881680298072,1256.399728584715,1270.3017578125,1813150,LT.NS
2021-05-05,6285.146908339745,6324.730196995153,6213.551427052519,6316.2001953125,499160,MARUTI.NS
2021-05-05,87.30652083386417,88.05664973094919,85.68124685593884,86.59806823730469,14956169,NTPC.NS
2021-05-05,82.26738844882038,83.4384533438483,80.87674644294067,81.3158950805664,47588366,ONGC.NS
2021-05-05,872.1070779189138,878.976538945821,865.1695531457119,870.6334228515625,12393609,RELIANCE.NS
2021-05-05,328.94849617632946,329.82508828531144,321.10540440213924,327.9335021972656,40872501,SBIN.NS
2021-05-05,611.2938949171845,654.743612670609,611.2938949171845,650.4605102539062,25296369,SUNPHARMA.NS
2021-05-05,2698.7661643501683,2724.610940141866,2683.2943245964398,2721.3583984375,1939289,TCS.NS
2021-05-05,1384.4664795047247,1409.9698334304883,1381.9063237107978,1406.5234375,1819256,TITAN.NS
2021-05-05,6173.560227036912,6227.123024894014,6124.375399964905,6208.00390625,215973,ULTRACEMCO.NS
2021-05-05,223.953190822196,229.12703268310656,223.26026632819466,226.63250732421875,23713182,WIPRO.NS
2021-05-06,2469.3581157924928,2471.272458116518,2419.728697568382,2439.877197265625,1518119,ASIANPAINT.NS
2021-05-06,715.0145703261439,719.8443798103659,707.2967946715094,712.77392578125,9484934,AXISBANK.NS
2021-05-06,545.4208652715618,550.5048014863842,536.1493315778504,541.5809936523438,22231110,BAJFINANCE.NS
2021-05-06,666.6222341637894,668.1377499432683,660.6550389228186,663.44921875,11477044,HDFCBANK.NS
2021-05-06,2207.052987709205,2222.272502172891,2185.948088416844,2197.85693359375,1377740,HINDUNILVR.NS
2021-05-06,583.0206329483368,590.8064807806612,579.5871290134854,588.2434692382812,16949763,ICICIBANK.NS
2021-05-06,1184.0308687459922,1201.3731366272477,1177.3404555895117,1198.6441650390625,4810090,INFY.NS
2021-05-06,159.03050288956936,161.89980632434572,158.8732695209812,159.38424682617188,14872429,ITC.NS
2021-05-06,354.85747041062484,357.24747931184237,351.17288221850964,356.1620178222656,11901275,KOTAKBANK.NS
2021-05-06,1275.378678063904,1287.287952382395,1267.5499026963244,1271.488037109375,2333882,LT.NS
2021-05-06,6316.10420602376,6430.158288044523,6302.398734622844,6389.568359375,520125,MARUTI.NS
2021-05-06,87.51489971473988,87.59824596649544,85.55623418338274,85.8896255493164,13547274,NTPC.NS
2021-05-06,82.19418645517102,82.59673699004843,80.10822094577765,80.69375610351562,26083818,ONGC.NS
2021-05-06,871.4267940731952,877.3894172578272,864.5119382269039,875.57568359375,14624666,RELIANCE.NS
2021-05-06,330.3325357820869,331.57820879743775,323.45828599449993,328.0718688964844,36294427,SBIN.NS
2021-05-06,656.5995896377394,663.1194582955492,640.8948804800407,646.6533203125,11153908,SUNPHARMA.NS
2021-05-06,2729.973148964114,2755.0268391091718,2702.282228277471,2735.20361328125,1791671,TCS.NS
2021-05-06,1413.8101789695247,1426.2663428421763,1409.0836448686987,1422.2784423828125,1464006,TITAN.NS
2021-05-06,6227.122806948002,6256.215051293359,6143.445844229638,6232.42578125,246632,ULTRACEMCO.NS
2021-05-06,228.06453242653373,237.81165810454598,225.084951746424,236.6567840576172,48827088,WIPRO.NS
2021-05-07,2445.57258401092,2479.073578312439,2432.650771923191,2442.365966796875,1416102,ASIANPAINT.NS
2021-05-07,718.0020426233596,723.8775344136849,711.0311490056571,713.7697143554688,7131970,AXISBANK.NS
2021-05-07,547.575921654404,549.8436132384563,534.6456732642171,538.1525268554688,18510330,BAJFINANCE.NS
2021-05-07,669.1558196668091,674.838872933729,667.877155806155,670.00830078125,12048334,HDFCBANK.NS
2021-05-07,2215.1455758644333,2229.1235333159516,2204.432038036505,2217.3525390625,1169518,HINDUNILVR.NS
2021-05-07,591.9188082591196,594.6269217191755,583.8911630254934,587.1795654296875,10941083,ICICIBANK.NS
2021-05-07,1201.901452963915,1208.7239358814727,1187.11202765501,1190.6773681640625,4991435,INFY.NS
2021-05-07,159.54144031682043,162.29283693789765,159.54144031682043,161.42811584472656,20213092,ITC.NS
2021-05-07,357.7056059398371,361.09145459129184,353.22432762127875,354.588623046875,8053650,KOTAKBANK.NS
2021-05-07,1278.225518523832,1290.466899663873,1270.633978695925,1274.14501953125,2362325,LT.NS
2021-05-07,6401.4053271722305,6473.815107407802,6364.02625728756,6424.45556640625,605050,MARUTI.NS
2021-05-07,86.6814204603143,87.93163325541498,86.13966031065512,87.55657196044922,13229291,NTPC.NS
2021-05-07,81.13291102076086,82.23078533926662,80.25461379958726,81.57205963134766,28016564,ONGC.NS
2021-05-07,878.6364032493998,886.7528395578353,873.3086014127246,875.9158325195312,12288548,RELIANCE.NS
2021-05-07,329.87119494995204,334.0234197814899,325.7189701184142,330.563232421875,38357618,SBIN.NS
2021-05-07,648.1762070421696,657.694213019294,644.940061772628,646.700927734375,6466334,SUNPHARMA.NS
2021-05-07,2754.14854043193,2777.751846295452,2735.512148929457,2754.060546875,1912540,TCS.NS
2021-05-07,1426.8079027636752,1436.9009193291188,1417.8472974627973,1424.34619140625,1190019,TITAN.NS
2021-05-07,6285.453746262351,6347.773434905236,6241.669288173643,6306.810546875,745582,ULTRACEMCO.NS
2021-05-07,237.44210947213503,238.6200753878757,234.4394368815341,238.01954650878906,29333162,WIPRO.NS
2021-05-10,2478.116597142038,2478.116597142038,2433.2730264276006,2447.439208984375,1526814,ASIANPAINT.NS
2021-05-10,720.4916358582418,721.9853987522118,711.0311375297645,712.2759399414062,7980462,AXISBANK.NS
2021-05-10,546.1065077076938,546.1065077076938,533.3721855548687,538.514892578125,19973390,BAJFINANCE.NS
2021-05-10,675.8098094461626,677.2305728857831,669.0848856230303,672.4236450195312,11060050,HDFCBANK.NS
2021-05-10,2228.2043440756283,2250.228853048625,2221.7671049470564,2237.308349609375,988495,HINDUNILVR.NS
2021-05-10,590.9516354734636,596.7547611900607,590.9516354734636,593.1278076171875,12060808,ICICIBANK.NS
2021-05-10,1188.3003893212533,1190.9854093423387,1175.271712767327,1179.233154296875,7195348,INFY.NS
2021-05-10,162.84312198433295,163.07894709079335,161.1529818454481,161.58534240722656,16922951,ITC.NS
2021-05-10,360.2947553697522,361.1412251084527,356.63007293299717,360.3644714355469,6662450,KOTAKBANK.NS
2021-05-10,1278.2255405220933,1327.4281857109518,1278.2255405220933,1323.7747802734375,3929224,LT.NS
2021-05-10,6397.763478608966,6491.642169891519,6383.290975840221,6482.87255859375,541534,MARUTI.NS
2021-05-10,88.34836128109794,90.01531149394884,88.01496996674567,89.76526641845703,23980945,NTPC.NS
2021-05-10,83.32865159308321,84.133758231919,82.34056591887214,83.36524963378906,33477142,ONGC.NS
2021-05-10,879.2032403073009,882.7399763357812,871.0188000480982,873.3992919921875,13941237,RELIANCE.NS
2021-05-10,332.6393109254276,338.63696840397205,331.07068155202484,333.74658203125,41739324,SBIN.NS
